Tên Sản Phẩm,Giá,Thương Hiệu,Loại,Mã Sản Phẩm,Năm Đăng Ký,Dung Tích,Màu Sắc,Tình Trạng,Smartkey,Thông Tin Sản Phẩm
Wave A 18K-474AD,17.300.000₫,Honda,Wave A,18K-474AD,2022,110cc,Xanh đen bạc,Còn hàng,,"Honda Wave A, màu xanh đen bạc, dung tích 110cc. Xe có thiết kế nhỏ gọn, chắc chắn, đi đầm, máy êm, chạy bốc, di chuyển ổn định ở tốc độ cao. Ngoài ra xe còn được yêu thích bởi tính bền bỉ, tiết kiệm nhiên liệu và rất ít khi hỏng vặt. Xe tỏ ra có ưu điểm vượt trội khi đi trong các ngõ nhỏ, phố nhỏ, đường đô thị chật hẹp, nhiều lối rẽ."
Airblade 36B-193KA,14.500.000₫,Honda,Airblade,36B-193KA,2016 (đời 2012),110cc,Đỏ đen trắng,Còn hàng,,"Honda Airblade, màu đen đỏ, dung tích 110cc, xe đẹp đi rất ít. Xe đẹp xuất sắc so với các xe cùng đời. Airblade là kiểu xe tay ga hiện đại rất được ưa chuộng, mạnh mẽ rất an toàn cho người sử dụng. Air Blade được đánh giá là một bước đột phá trong thiết kế hiện đại của dòng xe tay ga với các ưu điểm nổi trội về công nghệ tiên tiến. Xăng chạy 2,2L/100km."
Airblade 29G-550DK,27.500.000₫,Honda,Airblade,29G-550DK,2016,125cc,Xám đen,Còn hàng,,"Honda Airblade, màu xám đen, dung tích 125cc, xe đẹp đi rất ít. Hàng hiếm xe đẹp xuất sắc so với các xe cùng đời. Airblade là kiểu xe tay ga hiện đại rất được ưa chuộng, mạnh mẽ rất an toàn cho người sử dụng. Air Blade được đánh giá là một bước đột phá trong thiết kế hiện đại của dòng xe tay ga với các ưu điểm nổi trội về công nghệ tiên tiến. Xăng chạy 2,2L/100km."
Airblade Mới,37.500.000₫,Honda,Airblade,Airblade Mới,2023,125cc,Đỏ đen,Còn hàng,,"Honda Airblade Mới, khóa smartkey, màu đỏ đen xám, dung tích 125cc, xe đẹp đi rất ít. Hàng hiếm xe đẹp xuất sắc so với các xe cùng đời. Airblade là kiểu xe tay ga hiện đại rất được ưa chuộng, mạnh mẽ rất an toàn cho người sử dụng. Air Blade được đánh giá là một bước đột phá trong thiết kế hiện đại của dòng xe tay ga với các ưu điểm nổi trội về công nghệ tiên tiến. Xăng chạy 2,2L/100km."
Winner X 36B-489KB,25.800.000₫,Honda,Winner,36B-489KB,2022,150cc,Đen,Còn hàng,,"Honda Winner X, dung tích 150cc, màu đen. Xe đẹp xuất sắc, xe nên đẹp như mới, không một lỗi nhỏ. Xe được Honda trang bị động cơ PGM-FI, 4 kỳ, DOHC, xi-lanh đơn, dung tích 149,1cc, làm mát bằng dung dịch kết hợp hộp số 6 cấp, giúp sản sinh công suất tối đa 15,4 mã lực tại 9.000 vòng/phút, mô-men xoắn cực đại 13.5 Nm tại 6.500 vòng/phút."
Super Cub 29A-765AK,8.300.000₫,Honda,Cup,29A-765AK,2019,50cc,Xanh,Còn hàng,,"Super Cub, màu xanh, dung tích 50cc, xe đẹp xuất sắc, không một lỗi nhỏ (xe không cần sử dụng bằng lái) phù hợp với học sinh, sinh viên. Xe hình thức đẹp, máy zin, chạy êm."
Wave RSX 34C-208EE,9.800.000₫,Honda,Wave rsx,,,,,Hết hàng,,"Honda Wave RSX, màu đỏ đen, dung tích 110cc. Xe có thiết kế nhỏ gọn, chắc chắn, đi đầm, máy êm, chạy bốc, di chuyển ổn định ở tốc độ cao. Ngoài ra xe còn được yêu thích bởi tính bền bỉ, tiết kiệm nhiên liệu và rất ít khi hỏng vặt. Xe tỏ ra có ưu điểm vượt trội khi đi trong các ngõ nhỏ, phố nhỏ, đường đô thị chật hẹp, nhiều lối rẽ."
Airblade Fi 20M-60KJ,27.000.000₫,Honda,Airbade,20M-60KJ,2009,110cc,Đen bạc,Còn hàng,,"Honda Airblade Fi, form nhỏ, màu đen bạc, dung tích 110cc. Hàng hiếm đẹp xuất sắc so với các xe cùng đời. Airblade là kiểu xe tay ga hiện đại rất được ưa chuộng, mạnh mẽ rất an toàn cho người sử dụng. Air Blade được đánh giá là một bước đột phá trong thiết kế hiện đại của dòng xe tay ga với các ưu điểm nổi trội về công nghệ tiên tiến. Xăng chạy 2,2L/100km."
SH CBS 29S-032GG,78.600.000₫,Honda,SH,29S-032GG,2021,125cc,Trắng đen,Còn hàng,,"Honda SH CBS, màu trắng đen, dung tích 125cc, xe có khóa smartkey thông minh, an toàn, hiện đại,x đẹp xuất sắc, đi cực ít mới vài nghìn km. SH là dòng xe tay ga cao cấp của hãng xe máy nổi tiếng Honda. Với động cơ cực khóe, tiết kiệm nhiên liệu, thêm vào đó là thiết kế tạo cho người lái dáng ngồi sang trong SH đã nhanh chóng giành được sự “ưu ái” của những khách hàng có kinh tế ổn định, khá giả."
SH CBS 29N-597DC,77.800.000₫,Honda,SH,29N-597DC,2017,150cc,Đen,Còn hàng,,"Honda SH CBS, màu đen, dung tích 150cc, xe có khóa smartkey thông minh, an toàn, hiện đại, xe đẹp xuất sắc, đi cực ít. SH là dòng xe tay ga cao cấp của hãng xe máy nổi tiếng Honda. Với động cơ cực khóe, tiết kiệm nhiên liệu, thêm vào đó là thiết kế tạo cho người lái dáng ngồi sang trong SH đã nhanh chóng giành được sự “ưu ái” của những khách hàng có kinh tế ổn định, khá giả. "
Vision 36B-219AH,23.300.000₫,Honda,Vision,36B-219AH,2017,110cc,Đỏ đen,Còn hàng,,"Honda Vision, màu đỏ đen, dung tích 110cc, xe đẹp lung linh, không một lỗi nhỏ. Đây là dòng xe ga có thiết kế nhỏ nhắn, nhẹ nhàng. Kiểu dáng trẻ trung, thanh lịch. Xe phù hợp với các bạn nữ có vóc dáng mi nhon, chiều cao vừa phải. Ưu điểm nổi bật của dòng xe này là máy khoẻ, chạy êm, di chuyển ổn định ở tốc độ cao."
Vision 27Z-190AA,23.800.000₫,Honda,Vision,27Z-190AA,2017,110cc,Xanh đen,Còn hàng,,"Honda Vision, màu xanh, dung tích 110cc, xe đẹp lung linh, không một lỗi nhỏ. Đây là dòng xe ga có thiết kế nhỏ nhắn, nhẹ nhàng. Kiểu dáng trẻ trung, thanh lịch. Xe phù hợp với các bạn nữ có vóc dáng mi nhon, chiều cao vừa phải. Ưu điểm nổi bật của dòng xe này là máy khoẻ, chạy êm, di chuyển ổn định ở tốc độ cao."
Airblade 18K-452KK,34.500.000₫,Honda,Airbade,18K-452KK,2021,125cc,Đen,Còn hàng,,"Honda Airblade, khóa smartkey, màu đen, dung tích 125cc, xe đẹp đi rất ít. Hàng hiếm xe đẹp xuất sắc so với các xe cùng đời. Airblade là kiểu xe tay ga hiện đại rất được ưa chuộng, mạnh mẽ rất an toàn cho người sử dụng. Air Blade được đánh giá là một bước đột phá trong thiết kế hiện đại của dòng xe tay ga với các ưu điểm nổi trội về công nghệ tiên tiến. Xăng chạy 2,2L/100km."
Lead 20H-262KD,21.800.000₫,Honda,Lead,20H-262KD,2015,125cc,Vàng nâu,Còn hàng,,"Honda Lead, màu vàng nâu, dung tích 125cc. Lead là một trong những dòng xe đa dụng, phù hợp với thị hiếu của nhiều người tiêu dùng. Xe được thiết kế đặc biệt tiện dụng dành cho các bạn nữ. Với cốp rộng để nhiều vật dụng tiện lợi. Xe đi bốc, chạy khoẻ, máy êm, tiết kiệm nhiên liệu. Xăng chạy khoảng 1.8L/100Km."
SH CBS 18B-946BH,69.500.000₫,Honda,SH,18B-946BH,2017,150cc,Đen,Còn hàng,,"Honda SH CBS, màu đen, dung tích 150cc, xe có khóa smartkey thông minh, an toàn, hiện đại, xe đẹp xuất sắc, đi cực ít. SH là dòng xe tay ga cao cấp của hãng xe máy nổi tiếng Honda. Với động cơ cực khóe, tiết kiệm nhiên liệu, thêm vào đó là thiết kế tạo cho người lái dáng ngồi sang trong SH đã nhanh chóng giành được sự “ưu ái” của những khách hàng có kinh tế ổn định, khá giả. "
SH CBS 29V-611HJ,78.000.000₫,Honda,SH,29V-611HJ,2019,125cc,Đen,Còn hàng,,"Honda SH CBS, màu đen, dung tích 125cc, xe có khóa smartkey thông minh, an toàn, hiện đại, xe đẹp xuất sắc, đi cực ít. SH là dòng xe tay ga cao cấp của hãng xe máy nổi tiếng Honda. Với động cơ cực khóe, tiết kiệm nhiên liệu, thêm vào đó là thiết kế tạo cho người lái dáng ngồi sang trong SH đã nhanh chóng giành được sự “ưu ái” của những khách hàng có kinh tế ổn định, khá giả. "
Airblade 29Y-195BE,23.000.000₫,Honda,Airblade,29Y-195BE,2013,125cc,Đỏ trắng đen,Còn hàng,,"Honda Airblade, màu trắng đỏ đen, dung tích 125cc, xe đẹp đi rất ít. Hàng hiếm xe đẹp xuất sắc so với các xe cùng đời. Airblade là kiểu xe tay ga hiện đại rất được ưa chuộng, mạnh mẽ rất an toàn cho người sử dụng. Air Blade được đánh giá là một bước đột phá trong thiết kế hiện đại của dòng xe tay ga với các ưu điểm nổi trội về công nghệ tiên tiến. Xăng chạy 2,2L/100km."
Wave RSX FI 36B-481DA,18.900.000₫,Honda,Wave rsx,36B-481DA,2021,110cc,Xanh đen,Còn hàng,,"Honda Wave RSX FI, vành đúc, phanh đĩa, màu xanh đen, dung tích 110cc. Xe có thiết kế nhỏ gọn, chắc chắn, đi đầm, máy êm, chạy bốc, di chuyển ổn định ở tốc độ cao. Ngoài ra xe còn được yêu thích bởi tính bền bỉ, tiết kiệm nhiên liệu và rất ít khi hỏng vặt. Xe tỏ ra có ưu điểm vượt trội khi đi trong các ngõ nhỏ, phố nhỏ, đường đô thị chật hẹp, nhiều lối rẽ."
SH CBS 37P-684KA,68.000.000₫,Honda,SH,37P-684KA,2020,125cc,Trắng đen,Còn hàng,,"Honda SH CBS, màu trắng đen, dung tích 125cc, xe có khóa smartkey thông minh, an toàn, hiện đại,x đẹp xuất sắc, đi cực ít mới vài nghìn km. SH là dòng xe tay ga cao cấp của hãng xe máy nổi tiếng Honda. Với động cơ cực khóe, tiết kiệm nhiên liệu, thêm vào đó là thiết kế tạo cho người lái dáng ngồi sang trong SH đã nhanh chóng giành được sự “ưu ái” của những khách hàng có kinh tế ổn định, khá giả."
Lead 29D-092HB,28.800.000₫,Honda,Lead,29D-092HB,2017,125cc,Vàng đen,Còn hàng,,"Honda Lead, màu vàng nâu, dung tích 125cc. Lead là một trong những dòng xe đa dụng, phù hợp với thị hiếu của nhiều người tiêu dùng. Xe được thiết kế đặc biệt tiện dụng dành cho các bạn nữ. Với cốp rộng để nhiều vật dụng tiện lợi. Xe đi bốc, chạy khoẻ, máy êm, tiết kiệm nhiên liệu. Xăng chạy khoảng 1.8L/100Km."
SH CBS 36L-212BG,67.500.000₫,Honda,SH,36L-212BG,2017,125cc,Xanh đen,Còn hàng,,"Honda SH CBS, màu đen, dung tích 125cc, xe có khóa smartkey thông minh, an toàn, hiện đại, xe đẹp xuất sắc, đi cực ít. SH là dòng xe tay ga cao cấp của hãng xe máy nổi tiếng Honda. Với động cơ cực khóe, tiết kiệm nhiên liệu, thêm vào đó là thiết kế tạo cho người lái dáng ngồi sang trong SH đã nhanh chóng giành được sự “ưu ái” của những khách hàng có kinh tế ổn định, khá giả. "
Winner X ABS 99F-547BA,25.500.000₫,Honda,Winner,99F-547BA,2020,150cc,Đen vàng,Còn hàng,,"Honda Winner X ABS, dung tích 150cc, màu đen vàng đồng. Xe đẹp xuất sắc, xe nên đẹp như mới, không một lỗi nhỏ. Xe được Honda trang bị động cơ PGM-FI, 4 kỳ, DOHC, xi-lanh đơn, dung tích 149,1cc, làm mát bằng dung dịch kết hợp hộp số 6 cấp, giúp sản sinh công suất tối đa 15,4 mã lực tại 9.000 vòng/phút, mô-men xoắn cực đại 13.5 Nm tại 6.500 vòng/phút."
SH ABS 29S-822FJ,78.800.000₫,Honda,SH,29S-822FJ,2018,125cc,Trắng đen,Còn hàng,,"Honda SH ABS, màu trắng đen, dung tích 150cc, xe có khóa smartkey thông minh, an toàn, hiện đại, xe đẹp xuất sắc, đi cực ít. SH là dòng xe tay ga cao cấp của hãng xe máy nổi tiếng Honda. Với động cơ cực khóe, tiết kiệm nhiên liệu, thêm vào đó là thiết kế tạo cho người lái dáng ngồi sang trong SH đã nhanh chóng giành được sự “ưu ái” của những khách hàng có kinh tế ổn định, khá giả. "
Vario 29X-624KD,39.500.000₫,Honda,Vario,29X-624KD,2020,125cc,Đen,Còn hàng,,"Honda Vario, khóa smartkey, màu đen, dung tích 125c, xe đẹp lung linh, không một lỗi nhỏ. Đây là dòng xe ga có thiết kế nhỏ nhắn, nhẹ nhàng. Kiểu dáng trẻ trung, thanh lịch. Xe phù hợp với các bạn nữ có vóc dáng mi nhon, chiều cao vừa phải. Ưu điểm nổi bật của dòng xe này là máy khoẻ, chạy êm, di chuyển ổn định ở tốc độ cao."
Lead 29X-288DH,13.300.000₫,Honda,Lead,29X-288DH,2010,110cc,Vàng đen,Còn hàng,,"Honda Lead, màu vàng đen, dung tích 110cc. Lead là một trong những dòng xe đa dụng, phù hợp với thị hiếu của nhiều người tiêu dùng. Xe được thiết kế đặc biệt tiện dụng dành cho các bạn nữ. Với cốp rộng để nhiều vật dụng tiện lợi. Xe đi bốc, chạy khoẻ, máy êm, tiết kiệm nhiên liệu. Xăng chạy khoảng 1.8L/100Km."
Lead 30L-67KJ,12.200.000₫,Honda,Lead,30L-67KJ,2010,110cc,Bạc đen,Còn hàng,,"Honda Lead, màu bạc đen, dung tích 110cc. Lead là một trong những dòng xe đa dụng, phù hợp với thị hiếu của nhiều người tiêu dùng. Xe được thiết kế đặc biệt tiện dụng dành cho các bạn nữ. Với cốp rộng để nhiều vật dụng tiện lợi. Xe đi bốc, chạy khoẻ, máy êm, tiết kiệm nhiên liệu. Xăng chạy khoảng 1.8L/100Km."
Wave RSX 29B-480DF,12.200.000₫,Honda,Wave rsx,29B-480DF,2014,110cc,Đỏ đen,Còn hàng,,"Honda Wave RSX, màu đỏ đen, dung tích 110cc. Xe có thiết kế nhỏ gọn, chắc chắn, đi đầm, máy êm, chạy bốc, di chuyển ổn định ở tốc độ cao. Ngoài ra xe còn được yêu thích bởi tính bền bỉ, tiết kiệm nhiên liệu và rất ít khi hỏng vặt. Xe tỏ ra có ưu điểm vượt trội khi đi trong các ngõ nhỏ, phố nhỏ, đường đô thị chật hẹp, nhiều lối rẽ."
Airblade 29U-430BF,38.300.000₫,Honda,Airblade,29U-430BF,2020,125cc,Đen vàng,Còn hàng,,"Honda Airblade, khóa smartkey, màu đen vàng, dung tích 125cc, xe đẹp đi rất ít. Hàng hiếm xe đẹp xuất sắc so với các xe cùng đời. Airblade là kiểu xe tay ga hiện đại rất được ưa chuộng, mạnh mẽ rất an toàn cho người sử dụng. Air Blade được đánh giá là một bước đột phá trong thiết kế hiện đại của dòng xe tay ga với các ưu điểm nổi trội về công nghệ tiên tiến. Xăng chạy 2,2L/100km."
SH ABS 29D-415KB,88.800.000₫,Honda,Airblade,29D-415KB,2020,150cc,Xám đen,Còn hàng,,"Honda SH ABS, màu xám đen, dung tích 150cc, xe có khóa smartkey thông minh, an toàn, hiện đại, xe đẹp xuất sắc, đi cực ít. SH là dòng xe tay ga cao cấp của hãng xe máy nổi tiếng Honda. Với động cơ cực khóe, tiết kiệm nhiên liệu, thêm vào đó là thiết kế tạo cho người lái dáng ngồi sang trong SH đã nhanh chóng giành được sự “ưu ái” của những khách hàng có kinh tế ổn định, khá giả. "
Click 30F-60GH,11.000.000₫,Honda,Click,30F-60GH,2008,110cc,Trắng đen,Còn hàng,,"Honda Click, màu trắng đen, dung tích 110cc. Đây là dòng xe ga có thiết kế nhỏ nhắn, nhẹ nhàng. Kiểu dáng trẻ trung, thanh lịch. Xe phù hợp với các bạn nữ có vóc dáng mi nhon, chiều cao vừa phải. Ưu điểm nổi bật của dòng xe này là máy khoẻ, chạy êm, di chuyển ổn định ở tốc độ cao."
SH ABS 29X-467FC,83.000.000₫,Honda,SH,29X-467FC,2019,125cc,Đỏ đen,Còn hàng,,"Honda SH ABS, màu đỏ đen, dung tích 125cc, xe có khóa smartkey thông minh, an toàn, hiện đại, xe đẹp xuất sắc, đi cực ít. SH là dòng xe tay ga cao cấp của hãng xe máy nổi tiếng Honda. Với động cơ cực khóe, tiết kiệm nhiên liệu, thêm vào đó là thiết kế tạo cho người lái dáng ngồi sang trong SH đã nhanh chóng giành được sự “ưu ái” của những khách hàng có kinh tế ổn định, khá giả. "
Vision 29H-038DK,29.500.000₫,Honda,Vision,29H-038DK,2019,110cc,Đỏ đen,Còn hàng,,"Honda Vision, khóa smartkey, màu đỏ, dung tích 110cc, xe đẹp lung linh, không một lỗi nhỏ. Đây là dòng xe ga có thiết kế nhỏ nhắn, nhẹ nhàng. Kiểu dáng trẻ trung, thanh lịch. Xe phù hợp với các bạn nữ có vóc dáng mi nhon, chiều cao vừa phải. Ưu điểm nổi bật của dòng xe này là máy khoẻ, chạy êm, di chuyển ổn định ở tốc độ cao."
SH 29K-553BD,61.300.000₫,Honda,SH,29K-553BD,2016,125cc,Đen,Còn hàng,,"Honda SH, màu đen, dung tích 125cc, xe có khóa smartkey thông minh, an toàn, hiện đại, xe đẹp xuất sắc, đi cực ít. SH là dòng xe tay ga cao cấp của hãng xe máy nổi tiếng Honda. Với động cơ cực khóe, tiết kiệm nhiên liệu, thêm vào đó là thiết kế tạo cho người lái dáng ngồi sang trong SH đã nhanh chóng giành được sự “ưu ái” của những khách hàng có kinh tế ổn định, khá giả. "
Wave A 29H-142GF,12.800.000₫,Honda,Wave A,29H-142GF,2011,100cc,Xanh đen bạc,Còn hàng,,"Honda Wave A, màu xanh bạc đen, dung tích 100cc. Xe có thiết kế nhỏ gọn, chắc chắn, đi đầm, máy êm, chạy bốc, di chuyển ổn định ở tốc độ cao. Ngoài ra xe còn được yêu thích bởi tính bền bỉ, tiết kiệm nhiên liệu và rất ít khi hỏng vặt. Xe tỏ ra có ưu điểm vượt trội khi đi trong các ngõ nhỏ, phố nhỏ, đường đô thị chật hẹp, nhiều lối rẽ."
SH CBS 29L-864HD,75.500.000₫,Honda,SH,29L-864HD,2022,125cc,Đỏ đen,Còn hàng,,"Honda SH CBS, màu đỏ đen, dung tích 125c, xe có khóa smartkey thông minh, an toàn, hiện đại,x đẹp xuất sắc, đi cực ít mới vài nghìn km. SH là dòng xe tay ga cao cấp của hãng xe máy nổi tiếng Honda. Với động cơ cực khóe, tiết kiệm nhiên liệu, thêm vào đó là thiết kế tạo cho người lái dáng ngồi sang trong SH đã nhanh chóng giành được sự “ưu ái” của những khách hàng có kinh tế ổn định, khá giả."
Wave A 26B-985ED,13.300.000₫,Honda,Wave A,26B-985ED,2014,100cc,Trắng đen bạc,Còn hàng,,"Honda Wave A, màu trắng bạc đen, dung tích 110cc. Xe có thiết kế nhỏ gọn, chắc chắn, đi đầm, máy êm, chạy bốc, di chuyển ổn định ở tốc độ cao. Ngoài ra xe còn được yêu thích bởi tính bền bỉ, tiết kiệm nhiên liệu và rất ít khi hỏng vặt. Xe tỏ ra có ưu điểm vượt trội khi đi trong các ngõ nhỏ, phố nhỏ, đường đô thị chật hẹp, nhiều lối rẽ."
Airblade 29M-890DE,39.900.000₫,Honda,Airblade,29M-890DE,2021,125cc,Đỏ đen,Còn hàng,,"Honda Airblade, khóa smartkey, màu đỏ đen, dung tích 125cc, xe đẹp đi rất ít. Hàng hiếm xe đẹp xuất sắc so với các xe cùng đời. Airblade là kiểu xe tay ga hiện đại rất được ưa chuộng, mạnh mẽ rất an toàn cho người sử dụng. Air Blade được đánh giá là một bước đột phá trong thiết kế hiện đại của dòng xe tay ga với các ưu điểm nổi trội về công nghệ tiên tiến. Xăng chạy 2,2L/100km."
Airblade 36G-076HB,15.200.000₫,Honda,Airblade,36G-076HB,2013,110cc,Đen đỏ,Còn hàng,,"Honda Airblade, màu đen đỏ, dung tích 110cc, xe đẹp đi rất ít. Xe đẹp xuất sắc so với các xe cùng đời. Airblade là kiểu xe tay ga hiện đại rất được ưa chuộng, mạnh mẽ rất an toàn cho người sử dụng. Air Blade được đánh giá là một bước đột phá trong thiết kế hiện đại của dòng xe tay ga với các ưu điểm nổi trội về công nghệ tiên tiến. Xăng chạy 2,2L/100km."
Airblade 29B-548HE,26.000.000₫,Honda,Airblade,29B-548HE,2015,125cc,Đỏ đen,Còn hàng,,"Honda Airblade, màu đen đỏ, dung tích 125cc, xe đẹp đi rất ít. Hàng hiếm xe đẹp xuất sắc so với các xe cùng đời. Airblade là kiểu xe tay ga hiện đại rất được ưa chuộng, mạnh mẽ rất an toàn cho người sử dụng. Air Blade được đánh giá là một bước đột phá trong thiết kế hiện đại của dòng xe tay ga với các ưu điểm nổi trội về công nghệ tiên tiến. Xăng chạy 2,2L/100km."
SH 29B-448CJ,48.500.000₫,Honda,SH,29B-448CJ,2014,125cc,Trắng,Còn hàng,,"Honda SH, màu trắng đen, dung tích 125cc, xe có khóa smartkey thông minh, an toàn, hiện đại, xe đẹp xuất sắc, đi cực ít. SH là dòng xe tay ga cao cấp của hãng xe máy nổi tiếng Honda. Với động cơ cực khóe, tiết kiệm nhiên liệu, thêm vào đó là thiết kế tạo cho người lái dáng ngồi sang trong SH đã nhanh chóng giành được sự “ưu ái” của những khách hàng có kinh tế ổn định, khá giả. "
Wave RSX FI 36B-127JF,15.800.000₫,Honda,Wave rsx,36B-127JF,2021,110cc,Đỏ đen,Còn hàng,,"Honda Wave RSX FI, màu đỏ đen, dung tích 110cc. Xe có thiết kế nhỏ gọn, chắc chắn, đi đầm, máy êm, chạy bốc, di chuyển ổn định ở tốc độ cao. Ngoài ra xe còn được yêu thích bởi tính bền bỉ, tiết kiệm nhiên liệu và rất ít khi hỏng vặt. Xe tỏ ra có ưu điểm vượt trội khi đi trong các ngõ nhỏ, phố nhỏ, đường đô thị chật hẹp, nhiều lối rẽ."
Airblade 21B-106DF,15.200.000₫,Honda,Airbade,21B-106DF,2012,110cc,Đen vàng,Còn hàng,,"Honda Airblade, màu đen vàng, dung tích 110cc, xe đẹp đi rất ít. Xe đẹp xuất sắc so với các xe cùng đời. Airblade là kiểu xe tay ga hiện đại rất được ưa chuộng, mạnh mẽ rất an toàn cho người sử dụng. Air Blade được đánh giá là một bước đột phá trong thiết kế hiện đại của dòng xe tay ga với các ưu điểm nổi trội về công nghệ tiên tiến. Xăng chạy 2,2L/100km."
SH 29K-502EJ,56.500.000₫,Honda,SH,29K-502EJ,2015,125cc,Xanh đen,Còn hàng,,"Honda SH, màu xanh đen, dung tích 125cc, xe có khóa smartkey thông minh, an toàn, hiện đại, xe đẹp xuất sắc, đi cực ít. SH là dòng xe tay ga cao cấp của hãng xe máy nổi tiếng Honda. Với động cơ cực khóe, tiết kiệm nhiên liệu, thêm vào đó là thiết kế tạo cho người lái dáng ngồi sang trong SH đã nhanh chóng giành được sự “ưu ái” của những khách hàng có kinh tế ổn định, khá giả. "
SH Mode ABS 29Y-594CF,67.500.000₫,Honda,SH,ABS 29Y-594CF,2022,125cc,Đen,Còn hàng,,"Honda SH Mode ABS, khóa smartkey, màu đen, dung tích 125cc. Xe đẹp xuất sắc, không một lỗi nhỏ. SH là dòng xe tay ga cao cấp của hãng xe máy nổi tiếng Honda. Với động cơ cực khóe, tiết kiệm nhiên liệu, thêm vào đó là thiết kế tạo cho người lái dáng ngồi sang trong SH đã nhanh chóng giành được sự “ưu ái” của những khách hàng có kinh tế ổn định, khá giả."
Airblade 29B-923GD,40.500.000₫,Honda,Airblade,29S2-00707,2021,125cc,Đen vàng,Còn hàng,,"Honda Airblade, khóa smartkey, màu đen vàng, dung tích 125cc, xe đẹp đi rất ít. Hàng hiếm xe đẹp xuất sắc so với các xe cùng đời. Airblade là kiểu xe tay ga hiện đại rất được ưa chuộng, mạnh mẽ rất an toàn cho người sử dụng. Air Blade được đánh giá là một bước đột phá trong thiết kế hiện đại của dòng xe tay ga với các ưu điểm nổi trội về công nghệ tiên tiến. Xăng chạy 2,2L/100km."
Airblade 29Y-56AB,11.500.000₫,Honda,Airblade,29Y-56AB,2007,110cc,Đen,Còn hàng,,"Honda Airblade, form nhỏ, màu đen, dung tích 110cc. Hàng hiếm đẹp xuất sắc so với các xe cùng đời. Airblade là kiểu xe tay ga hiện đại rất được ưa chuộng, mạnh mẽ rất an toàn cho người sử dụng. Air Blade được đánh giá là một bước đột phá trong thiết kế hiện đại của dòng xe tay ga với các ưu điểm nổi trội về công nghệ tiên tiến. Xăng chạy 2,2L/100km."
Lead 29X-055KF,14.500.000₫,Honda,Lead,29X-055KF,2011,110cc,Bạc đen,Còn hàng,,"Honda Lead, màu trắng đen, dung tích 110cc. Lead là một trong những dòng xe đa dụng, phù hợp với thị hiếu của nhiều người tiêu dùng. Xe được thiết kế đặc biệt tiện dụng dành cho các bạn nữ. Với cốp rộng để nhiều vật dụng tiện lợi. Xe đi bốc, chạy khoẻ, máy êm, tiết kiệm nhiên liệu. Xăng chạy khoảng 1.8L/100Km."
Lead 29E-708KG,34.800.000₫,Honda,Lead,29E-708KG,2013,125cc,Vàng nâu,Còn hàng,,"Honda Lead, màu vàng đen, dung tích 125cc. Lead là một trong những dòng xe đa dụng, phù hợp với thị hiếu của nhiều người tiêu dùng. Xe được thiết kế đặc biệt tiện dụng dành cho các bạn nữ. Với cốp rộng để nhiều vật dụng tiện lợi. Xe đi bốc, chạy khoẻ, máy êm, tiết kiệm nhiên liệu. Xăng chạy khoảng 1.8L/100Km."
SH Mode 29G-965DB,57.800.000₫,Honda,SH Mode,29G-965DB,2021,125cc,Vàng đen,Còn hàng,,"Honda SH Mode, khóa smartkey, màu vàng đen, dung tích 125cc. Xe đẹp xuất sắc, không một lỗi nhỏ. SH là dòng xe tay ga cao cấp của hãng xe máy nổi tiếng Honda. Với động cơ cực khóe, tiết kiệm nhiên liệu, thêm vào đó là thiết kế tạo cho người lái dáng ngồi sang trong SH đã nhanh chóng giành được sự “ưu ái” của những khách hàng có kinh tế ổn định, khá giả."
Winner X ABS 17B-559FD,33.800.000₫,Honda,Winner,17B-559FD,2023,150cc,Đỏ đen,Còn hàng,,"Honda Winner X ABS, dung tích 150cc, màu đỏ đen. Xe đẹp xuất sắc, nilon dán cả xe nên đẹp như mới, không một lỗi nhỏ. Xe được Honda trang bị động cơ PGM-FI, 4 kỳ, DOHC, xi-lanh đơn, dung tích 149,1cc, làm mát bằng dung dịch kết hợp hộp số 6 cấp, giúp sản sinh công suất tối đa 15,4 mã lực tại 9.000 vòng/phút, mô-men xoắn cực đại 13.5 Nm tại 6.500 vòng/phút."
Lead 17B-022CH,20.300.000₫,Honda,Lead,17B-022CH,2013,125cc,Xám,Còn hàng,,"Honda Lead, màu xám, dung tích 125cc. Lead là một trong những dòng xe đa dụng, phù hợp với thị hiếu của nhiều người tiêu dùng. Xe được thiết kế đặc biệt tiện dụng dành cho các bạn nữ. Với cốp rộng để nhiều vật dụng tiện lợi. Xe đi bốc, chạy khoẻ, máy êm, tiết kiệm nhiên liệu. Xăng chạy khoảng 1.8L/100Km."
Vision 29E-092JG,25.500.000₫,Honda,Vision,29E-092JG,2016,110cc,Trắng đen,Còn hàng,,"Honda Vision, màu trắng, dung tích 110cc, xe đẹp lung linh, không một lỗi nhỏ. Đây là dòng xe ga có thiết kế nhỏ nhắn, nhẹ nhàng. Kiểu dáng trẻ trung, thanh lịch. Xe phù hợp với các bạn nữ có vóc dáng mi nhon, chiều cao vừa phải. Ưu điểm nổi bật của dòng xe này là máy khoẻ, chạy êm, di chuyển ổn định ở tốc độ cao."
